"Scenario","AvgYield","YieldLoss","AvgTemp","AnthesisTemp","MaxTemp","HDDPayout","CDDPayout","TotalPayout","EarningsWithout","EarningsWith","NetBenefit"
"Worst 5% Yield Cases",3.63861163188458,2.36138836811542,12.0366714804662,12.9952194692632,24.5855137086183,4829.8623782638,350.042117168755,5179.90449543255,8193.05815942289,10039.9619180891,1846.90375866617
"Best 5% Yield Cases",5.37641072632288,0.623589273677117,15.1955139482125,17.2936700346423,25.4115361130404,947.466655979099,620.822537634784,1568.28919361388,16882.0536316144,15117.3420884619,-1764.7115431525
