"Statistic","Value"
"Mean",71.8097216609193
"Median",67.3869089514552
"Min",0.312214421499045
"Max",256.264094579436
"Std Dev",37.3819111147315
"CV (%)",52.0568945960359
"5th Pctl",18.4001971568307
"95th Pctl",139.9530101506
