"Month","MonthNum","MeanTemp","MedianTemp","MinTemp","MaxTemp","StdDev","Q05","Q95","DaysBelow","DaysAbove"
"Jan",1,1.04737353830028,1,-15.3524595066338,16.5750989340079,3.39653541627241,-4.58264309932789,6.68914965576622,30.84,0
"Feb",2,2.88091844203936,2.88746835913725,-12.8728324791614,17.9414654289454,3.40266623416653,-2.72355608587699,8.48643770076305,27.4886,0
"Mar",3,6.60723463081702,6.61992331141928,-8.55088344716238,22.0319162210672,3.37423432625958,1.01765549874988,12.1199428700384,26.1075,1e-04
"Apr",4,11.4570293979152,11.4302504784187,-5.80607165146591,28.351261075259,3.60925207425758,5.57880485304476,17.4159779782765,10.3786,0.0505
"May",5,15.9256018188971,15.9231890121676,-0.173920303042705,31.6120348952145,3.53329145292641,10.1199554159587,21.7496282136711,1.4481,1.3417
"Jun",6,18.853084519674,18.852386264024,1.68968462872768,34.2045518918794,3.29925052258932,13.4184141818424,24.2774088986697,0.1146,5.0858
"Jul",7,19.5087593516388,19.5049662583031,4.31985184017105,35.238353102545,3.32601572187908,14.0508248605569,24.9899132681705,0.0651,7.0148
"Aug",8,17.5717048455139,17.5668961038658,1.08604477328701,34.732804729153,3.32811723483207,12.1070536700082,23.0368409951884,0.3614,2.8452
"Sep",9,13.7355397797166,13.7297571991295,-2.03506769747813,28.7559343538937,3.30083973600741,8.33857924692888,19.204418483361,3.8796,0.1888
"Oct",10,8.93591698258588,8.92313110218216,-4.02991349644526,23.8941762613316,3.18651903982023,3.70869867663139,14.1905806952355,19.558,7e-04
"Nov",11,4.49559206898807,4.49678767001495,-8.64284624845433,17.8927885356773,3.11252172332812,-0.626368927295845,9.61707398097553,28.8432,0
"Dec",12,1.61789685951919,1.62897661935269,-13.6358432270207,17.8917854757578,3.29020251781888,-3.80778647479418,7.00203186832026,30.8442,0
