"Metric","Value"
"Mean Temperature (°C)",10.2590471731818
"Median Temperature (°C)",10.1885029530648
"Minimum Temperature (°C)",-15.3524595066338
"Maximum Temperature (°C)",35.238353102545
"Standard Deviation (°C)",7.39376434149136
"5th Percentile (°C)",-1.20064810438568
"95th Percentile (°C)",21.783597002516
"Days Below HDD Strike",179.9289
"Days Above CDD Strike",16.5276
