"Period","MeanTemp","MedianTemp","MinTemp","MaxTemp","CriticalDays","StrikeThreshold","DegreeDaysAvg","ProbThreshold"
"Early Growth (HDD Contract)",10.0800169701807,10.0033046141001,-6.53537709200345,28.351261075259,23.4855,10,71.8097216609193,1
"Anthesis (CDD Contract)",17.6874656070269,17.7154873503376,1.60052281351671,33.4188134626327,5.1906,22,8.65832204821174,0.8343
